registration_no,subject_content_text,cleaned_text,annotation
MORLY/E/2023/1234568,"Train ke staff ka vyavhaar achha nahi tha, is par kuch karwai honi chahiye.",train staff vyavhaar achha nahi karwai honi chahiye,staff_misbehavior
MORLY/E/2023/2345679,"Railway station par restroom ki sthiti bahut kharab hai, uska sudhar hona chahiye.",railway station restroom sthiti bahut kharab sudhar chahiye,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/3456780,"Train ke operations mein bahut dikkat ho rahi hai, is par kuch kiya jaye.",train operations bahut dikkat jaye,service_quality
MORLY/E/2023/4567891,"Mere payment ke liye refund nahi aaya, kya aap meri madad kar sakte hain?",payment refund nahi sakte,"refund_delay,payment_issue"
MORLY/E/2023/5678902,Mujhe railway staff ka vyavhaar samajh nahi aaya. Kya iske liye aap kuch kar sakte hain?,railway staff vyavhaar samajh nahi iske sakte,staff_misbehavior
MORLY/E/2023/6789013,Station ki safai bahut kharab hai. Is par kuch dhyan diya jaye.,station safai bahut kharab dhyan jaye,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/7890124,"Railway services mein kai dikkat hai, ye dekha jaye. Bahut se log pareshaan hain.",railway services kai dikkat dekha jaye bahut log pareshaan,service_quality
MORLY/E/2023/8901235,"Mere payment ka refund nahi aaya hai, kya yeh jaldi ho sakta hai?",payment refund nahi jaldi sakta,"refund_delay,payment_issue"
MORLY/E/2023/9012346,"Mujhe railway staff ka vyavhaar bilkul theek nahi laga, kya yeh dekha ja sakta hai?",railway staff vyavhaar theek nahi laga dekha sakta,staff_misbehavior
MORLY/E/2023/2345678,Train ka time hamesha late hota hai. Aaj bhi 2 ghante late hai. Kya kar rahe ho aap log?,train time hamesha late aaj ghante late log,"train_delay,train_schedule"
MORLY/E/2023/3456789,Mere ticket ki payment nahi hui. Account number XXXXXX1234 hai. Jaldi dekhiye.,ticket payment nahi account number xxxxxx jaldi dekhiye,"ticket_booking,payment_issue"
MORLY/E/2023/4567890,Station par safai nahi hai. Khud dekhiye kabhi! Badi dikkat hoti hai.,station safai nahi khud dekhiye badi dikkat,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/5678901,Staff rude hai. Help nahi karte. Kya yeh service hai? Mera PNR XXXXXX7890.,staff rude nahi karte service pnr xxxxxx,"ticket_booking,staff_misbehavior,service_quality"
MORLY/E/2023/6789012,Train ka schedule kabhi check hi nahi hota. Aaj bhi wait kar raha hoon. Bura haal hai.,train schedule check nahi aaj wait bura haal,"staff_misbehavior,train_schedule"
MORLY/E/2023/7890123,Mera paisa ab tak refund nahi hua. Kya aap log sirf baten karne ke liye hain? Account XXXXXX4567.,paisa refund nahi log sirf baten account xxxxxx,"refund_delay,payment_issue"
MORLY/E/2023/8901234,Platform ki halat kharab hai. Kahi bhi kehne pe bhi koi nahi sunta hai. Aayiye dekhiye!,platform halat kharab kahi kehne nahi sunta aayiye dekhiye,"platform_infrastructure,service_quality"
MORLY/E/2023/9012345,Koi bhi madad nahi karta. Mere issue par koi jawab nahi diya. Yeh kya hai?,nahi karta issue jawab nahi,service_quality
MORLY/E/2023/0123456,Railway service bahut kharab hai. Jyada wait karna padta hai. Ye koi service hai kya?,railway service bahut kharab jyada wait padta service,service_quality
MORLY/E/2023/1234567,Mujhe refund nahi mila. Kya aap log sirf bartan karne ke liye hain? XXXXXX7890.,refund nahi mila log sirf bartan xxxxxx,refund_delay
MORLY/E/2023/2345678,Station ki safai bahut kharab hai. Aisa nahi chalega. Aap log kya kar rahe hain?,station safai bahut kharab aisa nahi chalega log,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/3456789,"Staff ka attitude theek nahi hai. Help nahi karte, sirf sunte hain.",staff attitude theek nahi nahi karte sirf sunte,staff_misbehavior
MORLY/E/2023/4567890,"Railway ki service acchi nahi hai, kabhi time par nahi aati. Main pareshaan hoon.",railway service acchi nahi time nahi aati main pareshaan,"service_quality,train_schedule"
MORLY/E/2023/5678901,"Refund ab tak nahi mila hai. Bahut pareshaan hoon, aap log to sirf bartan karte ho.",refund nahi mila bahut pareshaan log sirf bartan karte,refund_delay
MORLY/E/2023/6789012,Railway station ki facilities bahut kharab hain. Ye theek nahi hai! Aap log kya kar rahe ho?,railway station facilities bahut kharab theek nahi log,"platform_infrastructure,service_quality"
MORLY/E/2023/7890123,Mujhe staff ki training par bahut shikayat hai. Yeh kya hai? Koi madad nahi hoti!,staff training bahut shikayat nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/8901235,Train mein bahut samasya aati hai. Kya aap log kuch nahi kar sakte? Bahut pareshaan hoon.,train bahut samasya aati log nahi sakte bahut pareshaan,service_quality
MORLY/E/2023/9012346,Payment ki koi confirmation nahi mili. Kya aap log dhyan nahi dete?,payment confirmation nahi mili log dhyan nahi dete,payment_issue
MORLY/E/2023/0123458,Station ki facilities bilkul kharab hain. Aap log kya kar rahe ho?,station facilities kharab log,"platform_infrastructure,service_quality"
MORLY/E/2023/1234569,Staff ki training bilkul theek nahi hai. Koi madad nahi milti hai!,staff training theek nahi nahi milti,"staff_misbehavior,staff_training"
MORLY/E/2023/2345670,Train chalane ka time kabhi nahi hota. Bahut pareshaan hoon.,train chalane time nahi bahut pareshaan,train_schedule
MORLY/E/2023/3456781,Mere ticket ka paisa wapas nahi mila. Kya aap log kuch nahi kar sakte?,ticket paisa wapas nahi mila log nahi sakte,"refund_delay,ticket_booking"
MORLY/E/2023/1234567,"Mujhe train ka schedule kaafi baar badalta hai, is wajah se mai kabhi kabhi late hote hoon. Aapko dhyan dena chahiye.",train schedule baar badalta wajah mai late aapko dhyan dena chahiye,"train_delay,service_quality,train_schedule"
MORLY/E/2023/2345678,Maine ticket book ki thi lekin payment nahi hui. Mere account se paisa deduct ho gaya.,ticket book payment nahi account paisa deduct,"ticket_booking,payment_issue"
MORLY/E/2023/3456789,"Station ki facilities bahut kharab hain, toilets gande hain aur seating arrangement theek nahi hai.",station facilities bahut kharab toilets gande seating arrangement theek nahi,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/4567890,"Guard ne train mein safety measures ke bare mein nahi bataya, yeh bahut zaroori hai.",guard train safety measures bare nahi bataya bahut zaroori,service_quality
MORLY/E/2023/5678901,"Train ka arrival time pehle se badal gaya hai, iss wajah se mujhe dikkat hoti hai.",train arrival time pehle badal iss wajah dikkat,"service_quality,train_schedule"
MORLY/E/2023/6789012,"Maine double charges pay kiye hain, mujhe refund chahiye.",double charges pay kiye refund chahiye,"refund_delay,payment_issue"
MORLY/E/2023/7890123,"Platform pe safai nahi hoti. Bahut ganda hai, is wajah se train ke liye khade hone mein dikkat hoti hai.",platform safai nahi bahut ganda wajah train khade hone dikkat,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/8901234,"Conductor ne mere saath achhe se baat nahi ki, zaroori hai ki staff polite rahe.",conductor saath achhe baat nahi zaroori staff polite,staff_misbehavior
MORLY/E/2023/9012345,"Train ka timing bilkul galat hai, baar baar delay hota hai, is wajah se problem hoti hai.",train timing galat baar baar delay wajah problem,"train_delay,train_schedule"
MORLY/E/2023/0123456,"Mujhe ticket ka paisa nahi mila jo cancel kiya tha, iska kya hoga?",ticket paisa nahi mila cancel hoga,ticket_booking
MORLY/E/2023/1234568,Platform par koi seating nahi hai aur safai bhi nahi hoti. Bahut dikkat hoti hai.,platform seating nahi safai nahi bahut dikkat,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/2345679,Staff ko customer service ke bare mein achhe se nahi samjhaaya gaya hai. Is par dhyaan dena chahiye.,staff customer service bare achhe nahi samjhaaya dhyaan dena chahiye,"staff_misbehavior,service_quality"
MORLY/E/2023/3456790,"Mujhe kisi train ka number nahi pata, lekin wo kabhi bhi nahi aati. Bahut samasya hoti hai.",kisi train number nahi pata nahi aati bahut samasya,service_quality
MORLY/E/2023/4567901,"Mujhe refund nahi mila, maine ticket cancel ki thi. Iska kya hoga?",refund nahi mila ticket cancel hoga,"refund_delay,ticket_booking"
MORLY/E/2023/5678902,"Station par koi facilities nahi hain, kuch nahi hai. Bahut pareshani hoti hai.",station facilities nahi nahi bahut pareshani,platform_infrastructure
MORLY/E/2023/6789013,"Aaj kal staff ki services achhi nahi rahi hain, unko training ki zarurat hai.",aaj kal staff services achhi nahi unko training zarurat,"staff_misbehavior,service_quality,staff_training"
MORLY/E/2023/7890124,"Trains baar baar late ho rahi hain, isliye mujhe pareshani hoti hai.",trains baar baar late isliye pareshani,train_delay
MORLY/E/2023/8901235,"Maine ek refund request ki thi, ab tak kuch nahi hua.",refund request nahi,refund_delay
MORLY/E/2023/9012346,"Platform par koi bhi lighting nahi hai, raat ko bahut dikkat hoti hai.",platform lighting nahi raat bahut dikkat,platform_infrastructure
MORLY/E/2023/1234567,"Railway ka train time pe nahi aaya. Bahut der ho gaya tha, bahut pareshani hui.",railway train time nahi bahut der bahut pareshani,train_schedule
MORLY/E/2023/2345678,"Mujhe refund nahi mila hai, maine ticket cancel kiya tha lekin paisa nahi aaya.",refund nahi mila ticket cancel paisa nahi,"refund_delay,ticket_booking"
MORLY/E/2023/3456789,"Station par washroom bahut ganda hai. Saaf nahi kiya jata hai, please dekhiye.",station washroom bahut ganda saaf nahi jata dekhiye,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/4567890,Train staff bilkul rude hain. Unse baat karne mein bahut takleef hoti hai.,train staff rude unse baat bahut takleef,staff_misbehavior
MORLY/E/2023/5678901,"Train chhodne se pehle platform par announce nahi hota, bahut dikkat hoti hai.",train chhodne pehle platform announce nahi bahut dikkat,platform_infrastructure
MORLY/E/2023/6789012,"Mujhe online ticket kharidne par payment nahi hui, par amount deduct ho gaya.",online ticket kharidne payment nahi amount deduct,"ticket_booking,payment_issue"
MORLY/E/2023/7890123,Platform par seating arrangement bahut kharab hai. Log khade rehte hain.,platform seating arrangement bahut kharab log khade rehte,"platform_infrastructure,service_quality"
MORLY/E/2023/8901234,"Conductor ne mujhe seat nahi di, bahut bura experience hua.",conductor seat nahi bahut bura experience,"staff_misbehavior,service_quality"
MORLY/E/2023/9012345,Train ka route badal gaya bina kisi notice ke. Kaafi samasya hui.,train route badal bina kisi notice samasya,service_quality
MORLY/E/2023/0123456,Ticket cancel karne par refund nahi mil raha. Bahut samasya ho rahi hai.,ticket cancel refund nahi mil bahut samasya,"refund_delay,ticket_booking"
MORLY/E/2023/1234561,"Platform par paani bhara hua hai, logo ko dikkat ho rahi hai. Please dekhiye.",platform paani bhara logo dikkat dekhiye,platform_infrastructure
MORLY/E/2023/2345672,"Staff ne mujhe galat information di, kaafi samasya hui.",staff galat information samasya,"staff_misbehavior,staff_training"
MORLY/E/2023/3456783,Train ki frequency bahut kam hai. Bahut dikkat hoti hai.,train frequency bahut kam bahut dikkat,service_quality
MORLY/E/2023/4567894,"Mujhe ticket kharidte waqt payment nahi mila, bahut samasya hai.",ticket kharidte waqt payment nahi mila bahut samasya,"ticket_booking,payment_issue"
MORLY/E/2023/5678905,"Railway station par parking kaafi kharab hai, please improve karein.",railway station parking kharab improve,"platform_infrastructure,service_quality"
MORLY/E/2023/6789016,"Koi bhi staff madad nahi kar raha, bahut dikkat hui.",staff nahi bahut dikkat,staff_misbehavior
MORLY/E/2023/7890127,"Train ka delay ho gaya, koi information nahi di gayi.",train delay information nahi,"train_delay,staff_training"
MORLY/E/2023/8901238,"Online payment fail ho raha hai, please kuch karein.",online payment fail,payment_issue
MORLY/E/2023/9012349,"Station par lights nahi hain, bahut andhera hota hai.",station lights nahi bahut andhera,platform_infrastructure
MORLY/E/2023/0123450,"Staff ka behavior bahut accha nahi hai, problem ho rahi hai.",staff behavior bahut accha nahi problem,staff_misbehavior
MORLY/E/2023/1234561,Train ka platform change kar diya bina kisi notice ke. Please dekhiye.,train platform change bina kisi notice dekhiye,platform_infrastructure
MORLY/E/2023/2345672,"Mujhe ticket ki payment nahi mili, bahut dikkat hai.",ticket payment nahi mili bahut dikkat,"ticket_booking,payment_issue"
MORLY/E/2023/1234567,"Train ka time barabar nahi hai, bahut takleef hoti hai. Please kuch karein.",train time barabar nahi bahut takleef,train_schedule
MORLY/E/2023/2345678,"Mujhe ticket ke liye payment ki confirmation nahi mili, koi dikkat hai kya?",ticket payment confirmation nahi mili dikkat,"ticket_booking,payment_issue"
MORLY/E/2023/3456789,"Conductor ne ticket check nahi kiya aur rude behave kiya, bahut bura laga.",conductor ticket check nahi rude behave bahut bura laga,"ticket_booking,staff_misbehavior"
MORLY/E/2023/4567890,"Platform pe safai nahi ho rahi hai, bahut gandh hai, kuch karein!",platform safai nahi bahut gandh,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/5678901,"Train ka delay bahut hota hai, koi proper system nahi hai. Please dekhein!",train delay bahut proper system nahi dekhein,train_delay
MORLY/E/2023/6789012,"Mujhe refund nahi mila ab tak, kya problem hai? PNR: XXXXXX.",refund nahi mila problem pnr xxxxxx,"refund_delay,ticket_booking"
MORLY/E/2023/7890123,"Staff ne mujhe samajh nahi paya, unki attitude ka kuch nahi hota.",staff samajh nahi paya unki attitude nahi,"staff_misbehavior,payment_issue"
MORLY/E/2023/8901234,"Station ki building bahut purani hai, naye infrastructure ki zarurat hai.",station building bahut purani naye infrastructure zarurat,platform_infrastructure
MORLY/E/2023/9012345,"Train ka jaane ka samay change ho gaya bina kisi suchna ke, kaisa hai yeh?",train jaane samay change bina kisi suchna kaisa,service_quality
MORLY/E/2023/0123456,"Mujhe ticket ka refund nahi mila, please help! PNR: XXXXXX.",ticket refund nahi mila pnr xxxxxx,"refund_delay,ticket_booking"
MORLY/E/2023/1234568,"Railway staff ne mujhe ghalat information di, kaafi samay barbaad hua.",railway staff ghalat information samay barbaad,"staff_misbehavior,platform_infrastructure,staff_training"
MORLY/E/2023/2345679,"Platform pe sochne ke liye jagah nahi hai, khud pe chalte chalte gir gaya.",platform sochne jagah nahi khud chalte chalte gir,platform_infrastructure
MORLY/E/2023/3456780,"Train ka service bahut kharab hai, samasya jaldi hal karein.",train service bahut kharab samasya jaldi hal,service_quality
MORLY/E/2023/4567891,"Refund nahi mila ab tak, PNR: XXXXXX, kya ho raha hai?",refund nahi mila pnr xxxxxx,"refund_delay,ticket_booking"
MORLY/E/2023/5678902,"Staff ki training nahi hui, unka behavior theek nahi hai.",staff training nahi behavior theek nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/6789013,"Station ki infrastructure bahut poor hai, kuch upgrade ki zarurat hai.",station infrastructure bahut poor upgrade zarurat,"platform_infrastructure,service_quality"
MORLY/E/2023/7890124,"Train time pe nahi aayi, bahut issues hain, please dekhein.",train time nahi bahut issues dekhein,"service_quality,train_schedule"
MORLY/E/2023/8901235,"Mujhe refund ka status chahiye, ab tak nahi mila, kya karna hai?",refund status chahiye nahi mila,refund_delay
MORLY/E/2023/9012346,"Staff ne mujhe samajh nahi paya, unka behavior theek nahi hai.",staff samajh nahi paya behavior theek nahi,"staff_misbehavior,payment_issue"
MORLY/E/2023/1234567,Train ka time change ho gaya hai. Pichle mahine se kuch nahi badla. Bahut pareshani ho rahi hai!,train time change pichle mahine nahi badla bahut pareshani,"service_quality,train_schedule"
MORLY/E/2023/2345678,Online ticket booking ke liye payment nahi ho raha hai. Mere account ka number XXXXXX1234 hai.,online ticket booking payment nahi account number xxxxxx,"ticket_booking,payment_issue"
MORLY/E/2023/3456789,Station par facilities bahut kharab hain. Toilets gande hain aur benches bhi nahi hain.,station facilities bahut kharab toilets gande benches nahi,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/4567890,Railway staff ka behavior bahut bura hai. Unhone mujhe bura bola jab maine unse madad maangi.,railway staff behavior bahut bura unhone bura bola jab unse maangi,staff_misbehavior
MORLY/E/2023/5678901,Train ka delay baar-baar ho raha hai. Mere paas important meeting hai!,train delay baarbaar paas important meeting,train_delay
MORLY/E/2023/6789012,Ticket cancel karne par refund nahi mila. Mere account ka no. XXXXXX9876 hai.,ticket cancel refund nahi mila account xxxxxx,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/7890123,"Platform par safety measures nahi hain. Bahut khatar hai, please kuch karein.",platform safety measures nahi bahut khatar,platform_infrastructure
MORLY/E/2023/8901234,Staff se baat karne par gussa hota hai. Kya yeh sahi hai? Please kuch karein.,staff baat gussa sahi,staff_misbehavior
MORLY/E/2023/9012345,Train se baahar jane ka time nahi hai. Kahi nahi mil raha hai koi.,train baahar jane time nahi kahi nahi mil,train_schedule
MORLY/E/2023/0123456,Mujhe coupon se discount nahi mila. Bahut pareshan hoon.,coupon discount nahi mila bahut pareshan,service_quality
MORLY/E/2023/1234568,Station par parking ka bahut bada dikkat hai. Bahut samasya hoti hai.,station parking bahut bada dikkat bahut samasya,"platform_infrastructure,service_quality"
MORLY/E/2023/2345679,Conductor hamesha late hota hai. Ticket check karne me samay lagta hai.,conductor hamesha late ticket check samay lagta,"ticket_booking,staff_misbehavior,train_delay"
MORLY/E/2023/3456780,Train mein toilets gande hain. Kya kuch nahi hota iske liye?,train toilets gande nahi iske,train_cleanliness
MORLY/E/2023/4567891,Payment fail ho raha hai jab bhi main ticket book karta hoon. Bahut pareshaan hoon.,payment fail jab main ticket book karta bahut pareshaan,"ticket_booking,payment_issue"
MORLY/E/2023/5678902,Platform par behtareen suvidhaon ki kami hai. Bahut dikkat hoti hai.,platform behtareen suvidhaon kami bahut dikkat,platform_infrastructure
MORLY/E/2023/6789013,Railway staff se baat karne par unka behavior bura hai. Kya kuch nahi kiya ja sakta?,railway staff baat behavior bura nahi sakta,staff_misbehavior
MORLY/E/2023/7890124,Train ki timing kabhi sahi nahi hoti. Bahut baar delay hota hai.,train timing sahi nahi bahut baar delay,"train_delay,train_schedule"
