registration_no,cleaned_text,language
MORLY/E/2023/5678902,station bahut saari facilities nahi,english
MORLY/E/2023/6789013,train service sahi nahi bahut dikkat,english
MORLY/E/2023/7890124,payment nahi mili transaction xxxxxx dekh,english
MORLY/E/2023/8901235,staff assist nahi bahut takleef,english
MORLY/E/2023/1234567,train schedule baarbaar badal isse dikkat fix time chahiye,english
MORLY/E/2023/2345678,ticket payment baad confirmation nahi mila paise wapas,english
MORLY/E/2023/3456789,train staff taraf bura vyavhaar mila iske sakta,english
MORLY/E/2023/4567890,platform sthiti bahut kharab logon dikkat samadhan chahiye,english
MORLY/E/2023/5678901,train delays wajah students school pahunchne mushkil jaaye,english
MORLY/E/2023/6789012,mujhse ticket paisa kat confirmation nahi mila sakte,english
MORLY/E/2023/7890123,railway staff bura vyavhaar mila kadam uthaye sakte,english
MORLY/E/2023/8901234,railway bridge bahut purana iski marammat bahut zaroorat,english
MORLY/E/2023/9012345,train time schedule sahi nahi iski wajah dikkat,english
MORLY/E/2023/0123456,online ticket payment nahi chahiye,english
MORLY/E/2023/1234568,train staff vyavhaar achha nahi karwai honi chahiye,english
MORLY/E/2023/2345679,railway station restroom sthiti bahut kharab sudhar chahiye,english
MORLY/E/2023/3456780,train operations bahut dikkat jaye,english
MORLY/E/2023/4567891,payment refund nahi sakte,english
MORLY/E/2023/5678902,railway staff vyavhaar samajh nahi iske sakte,english
MORLY/E/2023/6789013,station safai bahut kharab dhyan jaye,english
MORLY/E/2023/7890124,railway services kai dikkat dekha jaye bahut log pareshaan,english
MORLY/E/2023/8901235,payment refund nahi jaldi sakta,english
MORLY/E/2023/9012346,railway staff vyavhaar theek nahi laga dekha sakta,english
MORLY/E/2023/2345678,train time hamesha late aaj ghante late log,english
MORLY/E/2023/3456789,ticket payment nahi account number xxxxxx jaldi dekhiye,english
MORLY/E/2023/4567890,station safai nahi khud dekhiye badi dikkat,english
MORLY/E/2023/5678901,staff rude nahi karte service pnr xxxxxx,english
MORLY/E/2023/6789012,train schedule check nahi aaj wait bura haal,english
MORLY/E/2023/7890123,paisa refund nahi log sirf baten account xxxxxx,english
MORLY/E/2023/8901234,platform halat kharab kahi kehne nahi sunta aayiye dekhiye,english
MORLY/E/2023/9012345,nahi karta issue jawab nahi,english
MORLY/E/2023/0123456,railway service bahut kharab jyada wait padta service,english
MORLY/E/2023/1234567,refund nahi mila log sirf bartan xxxxxx,english
MORLY/E/2023/2345678,station safai bahut kharab aisa nahi chalega log,english
MORLY/E/2023/3456789,staff attitude theek nahi nahi karte sirf sunte,english
MORLY/E/2023/4567890,railway service acchi nahi time nahi aati main pareshaan,english
MORLY/E/2023/5678901,refund nahi mila bahut pareshaan log sirf bartan karte,english
MORLY/E/2023/6789012,railway station facilities bahut kharab theek nahi log,english
MORLY/E/2023/7890123,staff training bahut shikayat nahi,english
MORLY/E/2023/8901235,train bahut samasya aati log nahi sakte bahut pareshaan,english
MORLY/E/2023/9012346,payment confirmation nahi mili log dhyan nahi dete,english
MORLY/E/2023/0123458,station facilities kharab log,english
MORLY/E/2023/1234569,staff training theek nahi nahi milti,english
MORLY/E/2023/2345670,train chalane time nahi bahut pareshaan,english
MORLY/E/2023/3456781,ticket paisa wapas nahi mila log nahi sakte,english
MORLY/E/2023/1234567,train schedule baar badalta wajah mai late aapko dhyan dena chahiye,english
MORLY/E/2023/2345678,ticket book payment nahi account paisa deduct,english
MORLY/E/2023/3456789,station facilities bahut kharab toilets gande seating arrangement theek nahi,english
MORLY/E/2023/4567890,guard train safety measures bare nahi bataya bahut zaroori,english
MORLY/E/2023/5678901,train arrival time pehle badal iss wajah dikkat,english
MORLY/E/2023/6789012,double charges pay kiye refund chahiye,english
MORLY/E/2023/7890123,platform safai nahi bahut ganda wajah train khade hone dikkat,english
MORLY/E/2023/8901234,conductor saath achhe baat nahi zaroori staff polite,english
MORLY/E/2023/9012345,train timing galat baar baar delay wajah problem,english
MORLY/E/2023/0123456,ticket paisa nahi mila cancel hoga,english
MORLY/E/2023/1234568,platform seating nahi safai nahi bahut dikkat,english
MORLY/E/2023/2345679,staff customer service bare achhe nahi samjhaaya dhyaan dena chahiye,english
MORLY/E/2023/3456790,kisi train number nahi pata nahi aati bahut samasya,english
MORLY/E/2023/4567901,refund nahi mila ticket cancel hoga,english
MORLY/E/2023/5678902,station facilities nahi nahi bahut pareshani,english
MORLY/E/2023/6789013,aaj kal staff services achhi nahi unko training zarurat,english
MORLY/E/2023/7890124,trains baar baar late isliye pareshani,english
MORLY/E/2023/8901235,refund request nahi,english
MORLY/E/2023/9012346,platform lighting nahi raat bahut dikkat,english
MORLY/E/2023/1234567,railway train time nahi bahut der bahut pareshani,english
MORLY/E/2023/2345678,refund nahi mila ticket cancel paisa nahi,english
MORLY/E/2023/3456789,station washroom bahut ganda saaf nahi jata dekhiye,english
MORLY/E/2023/4567890,train staff rude unse baat bahut takleef,english
MORLY/E/2023/5678901,train chhodne pehle platform announce nahi bahut dikkat,english
MORLY/E/2023/6789012,online ticket kharidne payment nahi amount deduct,english
MORLY/E/2023/7890123,platform seating arrangement bahut kharab log khade rehte,english
MORLY/E/2023/8901234,conductor seat nahi bahut bura experience,english
MORLY/E/2023/9012345,train route badal bina kisi notice samasya,english
MORLY/E/2023/0123456,ticket cancel refund nahi mil bahut samasya,english
MORLY/E/2023/1234561,platform paani bhara logo dikkat dekhiye,english
MORLY/E/2023/2345672,staff galat information samasya,english
MORLY/E/2023/3456783,train frequency bahut kam bahut dikkat,english
MORLY/E/2023/4567894,ticket kharidte waqt payment nahi mila bahut samasya,english
MORLY/E/2023/5678905,railway station parking kharab improve,english
MORLY/E/2023/6789016,staff nahi bahut dikkat,english
MORLY/E/2023/7890127,train delay information nahi,english
MORLY/E/2023/8901238,online payment fail,english
MORLY/E/2023/9012349,station lights nahi bahut andhera,english
MORLY/E/2023/0123450,staff behavior bahut accha nahi problem,english
MORLY/E/2023/1234561,train platform change bina kisi notice dekhiye,english
MORLY/E/2023/2345672,ticket payment nahi mili bahut dikkat,english
MORLY/E/2023/1234567,train time barabar nahi bahut takleef,english
MORLY/E/2023/2345678,ticket payment confirmation nahi mili dikkat,english
MORLY/E/2023/3456789,conductor ticket check nahi rude behave bahut bura laga,english
MORLY/E/2023/4567890,platform safai nahi bahut gandh,english
MORLY/E/2023/5678901,train delay bahut proper system nahi dekhein,english
MORLY/E/2023/6789012,refund nahi mila problem pnr xxxxxx,english
MORLY/E/2023/7890123,staff samajh nahi paya unki attitude nahi,english
MORLY/E/2023/8901234,station building bahut purani naye infrastructure zarurat,english
MORLY/E/2023/9012345,train jaane samay change bina kisi suchna kaisa,english
MORLY/E/2023/0123456,ticket refund nahi mila pnr xxxxxx,english
MORLY/E/2023/1234568,railway staff ghalat information samay barbaad,english
MORLY/E/2023/2345679,platform sochne jagah nahi khud chalte chalte gir,english
MORLY/E/2023/3456780,train service bahut kharab samasya jaldi hal,english
MORLY/E/2023/4567891,refund nahi mila pnr xxxxxx,english
MORLY/E/2023/5678902,staff training nahi behavior theek nahi,english
MORLY/E/2023/6789013,station infrastructure bahut poor upgrade zarurat,english
MORLY/E/2023/7890124,train time nahi bahut issues dekhein,english
MORLY/E/2023/8901235,refund status chahiye nahi mila,english
MORLY/E/2023/9012346,staff samajh nahi paya behavior theek nahi,english
MORLY/E/2023/1234567,train time change pichle mahine nahi badla bahut pareshani,english
MORLY/E/2023/2345678,online ticket booking payment nahi account number xxxxxx,english
MORLY/E/2023/3456789,station facilities bahut kharab toilets gande benches nahi,english
MORLY/E/2023/4567890,railway staff behavior bahut bura unhone bura bola jab unse maangi,english
MORLY/E/2023/5678901,train delay baarbaar paas important meeting,english
MORLY/E/2023/6789012,ticket cancel refund nahi mila account xxxxxx,english
MORLY/E/2023/7890123,platform safety measures nahi bahut khatar,english
MORLY/E/2023/8901234,staff baat gussa sahi,english
MORLY/E/2023/9012345,train baahar jane time nahi kahi nahi mil,english
MORLY/E/2023/0123456,coupon discount nahi mila bahut pareshan,english
MORLY/E/2023/1234568,station parking bahut bada dikkat bahut samasya,english
MORLY/E/2023/2345679,conductor hamesha late ticket check samay lagta,english
MORLY/E/2023/3456780,train toilets gande nahi iske,english
MORLY/E/2023/4567891,payment fail jab main ticket book karta bahut pareshaan,english
MORLY/E/2023/5678902,platform behtareen suvidhaon kami bahut dikkat,english
MORLY/E/2023/6789013,railway staff baat behavior bura nahi sakta,english
MORLY/E/2023/7890124,train timing sahi nahi bahut baar delay,english
MORLY/E/2023/8901235,refund nahi mila jab ticket cancel bahut pareshaan,english
MORLY/E/2023/1234567,train time barbad information nahi mili gante wait,english
MORLY/E/2023/2345678,payment refund nahi mila account number xxxxxx bahut pareshaan abhi,english
MORLY/E/2023/3456789,station cleaning nahi safai bahut kharab aise nahi chalega,english
MORLY/E/2023/4567890,staff behavior bahut rude respect nahi passengers bahut bura laga,english
MORLY/E/2023/5678901,train delay information nahi pnr xxxxxxxxxx,english
MORLY/E/2023/6789012,booking paisa deduct ticket nahi mili,english
MORLY/E/2023/7890123,foot overbridge kaam hoga bahut mushkil crossing,english
MORLY/E/2023/8901234,ticket counter staff attitude acha nahi rude response milta dekhiye,english
MORLY/E/2023/9012345,train schedule change bina kisi notice bahut nafrat wajah,english
MORLY/E/2023/0123456,booking card payment abhi confirmation nahi mila,english
MORLY/E/2023/1234560,platform repair kaam bahut dikkat jaldi karwai,english
MORLY/E/2023/2345601,staff problem kisi query jawab nahi mil bahut takleef,english
MORLY/E/2023/3456712,train coach cleanliness bahut kharab aisa nahi chahiye,english
MORLY/E/2023/4567813,refund milne intezaar nahi bahut pareshani,english
MORLY/E/2023/5678924,roads bahut kharab station aas paas nahi dekha jata,english
MORLY/E/2023/6789035,staff training kami training nahi,english
MORLY/E/2023/7890126,train timing bahut badal notice nahi mila galat,english
MORLY/E/2023/8901237,payment retry nahi bahut pareshani,english
MORLY/E/2023/9012348,station infrastructure bahut purani nahi,english
MORLY/E/2023/9876543,train time nahi bahut der aisa baar baar kyu,english
MORLY/E/2023/7654321,booking time payment nahi mila baar baar try,english
MORLY/E/2023/6543210,staff bahut rude customer service training hone chahiye,english
MORLY/E/2023/5432109,platform halat kharab behtareen infrastructure chahiye,english
MORLY/E/2023/4321098,train delay isse bahut dikkat,english
MORLY/E/2023/3210987,account paise nahi bhut baar dekha magar nahi,english
MORLY/E/2023/2109876,guard dhoka bahut bura laga,english
MORLY/E/2023/1098765,station safai bahut zaroori nahi logon problem,english
MORLY/E/2023/0987654,train cancellation wajah nuksan,english
MORLY/E/2023/9876500,ticket paise wapas nahi mile bhut pareshani,english
MORLY/E/2023/4567890,staff sath achha vyavhaar nahi bahut bura laga,english
MORLY/E/2023/6789012,station building purani iski marammat honi chahiye,english
MORLY/E/2023/7890123,train schedule samajh nahi bahut confusion,english
MORLY/E/2023/8901234,refund nahi mil maangti ispar dhyan dein,english
MORLY/E/2023/1234567,staff nahi mil behtar training zaroorat,english
MORLY/E/2023/2345678,railway station facilities purani nayi facilities deni chahiye,english
MORLY/E/2023/3456789,train timing sahi nahi bahut pareshani,english
MORLY/E/2023/5678901,refund nahi mil complaint jaldi dekhiye,english
MORLY/E/2023/6789012,staff support nahi mila zaroori staff training jaye,english
MORLY/E/2023/1234567,train time delay issue pichle hafte train ghante late,english
MORLY/E/2023/2345678,payment process nahi main baar baar try phir nahi,english
MORLY/E/2023/3456789,station facilities bahut kharab cleanliness basic amenities kami,english
MORLY/E/2023/4567890,station staff behavior theek nahi attitude rude nahi karte,english
MORLY/E/2023/5678901,train schedule samajhne dikkat timings clear nahi,english
MORLY/E/2023/6789012,refund process nahi pese account nahi aaye karoon,english
MORLY/E/2023/7890123,railway station bahut saari cheezein purani facilities update zarurat,english
MORLY/E/2023/8901234,staff complaint ignore nahi mili,english
MORLY/E/2023/9012345,train booking process bahut mushkil samajhne dikkat,english
MORLY/E/2023/0123456,payment status update nahi hoga,english
MORLY/E/2023/1234560,platform safety issues bahut saari jagah lights nahi bahut andhera,english
MORLY/E/2023/2345671,staff training weak unhein passengers sath baatcheet nahi aata,english
MORLY/E/2023/3456782,train punctuality bahut kharab aaj train ghante late,english
MORLY/E/2023/4567893,ticket cancellation baad paise nahi aaye pese milenge,english
MORLY/E/2023/5678904,railway station seating arrangement bahut bekar log bekaar khade rehte,english
MORLY/E/2023/6789015,staff behavior accha nahi unhein customers baat dikkat,english
MORLY/E/2023/7890126,train schedule clarity nahi bahut saari changes last minute,english
MORLY/E/2023/8901237,ticket cancellation hone baad paise nahi aaye milenge,english
MORLY/E/2023/9012348,railway station bahut saari jagah safai kami sudhar zarurat,english
MORLY/E/2023/1234567,train timing hamesha late bahut dikkat dhyaan dein,english
MORLY/E/2023/2345678,ticket book payment nahi,english
MORLY/E/2023/3456789,railway staff behave achha nahi training zarurat,english
MORLY/E/2023/4567890,platform safai nahi bahut ganda,english
MORLY/E/2023/5678901,train time nahi aati baar cancel,english
MORLY/E/2023/6789012,refund nahi mila milna chahiye,english
MORLY/E/2023/7890123,ticket collector bahut rude behave chahiye,english
MORLY/E/2023/8901234,railway station basic facilities nahi bahut mushkil,english
MORLY/E/2023/9012345,train arrival time bahut galat chahiye,english
MORLY/E/2023/0123456,refund nahi mil bahut pareshani,english
MORLY/E/2023/1234568,hone laga railway staff unki service thik nahi,english
MORLY/E/2023/2345679,platform sadak kharab bahut khatarnaak,english
MORLY/E/2023/3456780,train service bahut bekar iske baare jaaye,english
MORLY/E/2023/4567891,payment pending jaldi process,english
MORLY/E/2023/5678902,railway personnel attitude theek nahi kafi rude,english
MORLY/E/2023/6789013,station washroom bahut kami bahut dikkat,english
MORLY/E/2023/7890124,train seat allocation confusion dhyaan dein,english
MORLY/E/2023/8901235,ticket payment nahi check,english
MORLY/E/2023/9012346,railway staff bahut uncaring unse baat mushkil,english
MORLY/E/2023/0123457,station building bahut purani chahiye,english
MORLY/E/2023/3245678,train schedule bahut bekar aksar late updates nahi milte,english
MORLY/E/2023/8745123,train ticket payment dikkat,english
MORLY/E/2023/1234567,train staff baat mushkil unki attitude achhi nahi,english
MORLY/E/2023/9876543,railway station facilities bahut kharab bahut gande washrooms,english
MORLY/E/2023/4567890,pichle mahine train timings samasya,english
MORLY/E/2023/7891234,train guards samasya waqt samajhne dikkat,english
MORLY/E/2023/1122334,station safai suvidhaon kami bahut dikkat,english
MORLY/E/2023/5566778,ticket refund nahi mil milega,english
MORLY/E/2023/3344556,baar baar train cancellations samasya samasya jaldi suljhao,english
MORLY/E/2023/8899776,platform bahut kharab kahin nahin jaana,english
MORLY/E/2023/5554443,train staff training achi nahi samasya samajhne dikkat,english
MORLY/E/2023/7771234,ticket cancel refund nahi,english
MORLY/E/2023/2223345,train bahut bheed ticket check nahi,english
MORLY/E/2023/9988776,station parking samasya jaga nahi milti,english
MORLY/E/2023/4561239,train staff communication skills sudhar zarurat,english
MORLY/E/2023/1239876,train ticket payment confirmation nahi mila,english
MORLY/E/2023/4445556,station platform khudai chal bahut dikkat,english
MORLY/E/2023/1234569,train time schedule bahut bekar kabhikabhi train nahi aati,english
MORLY/E/2023/4567894,train staff behavior achha nahi improve padega,english
MORLY/E/2023/6543210,platform potholes bahut dikkat chalne,english
MORLY/E/2023/1234567,train schedule bahut kharab main baar baar dekh train time nahi aati,english
MORLY/E/2023/2345678,ticket booking karte waqt payment nahi baar baar error,english
MORLY/E/2023/3456789,train staff vyavhar achha nahi unhone nahi jab zaroorat,english
MORLY/E/2023/4567890,platform safai nahi benches kharab dekhiye,english
MORLY/E/2023/5678901,train time table galat pata nahi aati,english
MORLY/E/2023/6789012,refund nahi mil pichle ticket karun,english
MORLY/E/2023/7890123,staff training nahi zaroorat aagey kaam chahiye,english
MORLY/E/2023/8901234,station infrastructure bahut purana thoda sudhaar chahiye,english
MORLY/E/2023/9012345,train timings galat dhyaan dena chahiye,english
MORLY/E/2023/0123456,ticket booking dauran paise nahi mile sakte,english
MORLY/E/2023/1234560,railway staff training zaroorat achhi tarah kaam nahi aata,english
MORLY/E/2023/2345601,station parking jagah nahi bahut dikkat,english
MORLY/E/2023/3456702,train bahar nahi nikala samasya sudhaariye,english
MORLY/E/2023/4567803,purani ticket refund nahi mila dekhiye,english
MORLY/E/2023/5678904,staff professionalism nahi unhein behatar training deni chahiye,english
MORLY/E/2023/6789015,station basic facilities nahi dekhiye,english
MORLY/E/2023/7890126,train facilities nahi bohot takleef,english
MORLY/E/2023/8901237,pichle ticket refund nahi mila kripya kijiye,english
MORLY/E/2023/9012348,staff vyavhar thik nahi unhein professionalism sikhana chahiye,english
MORLY/E/2023/0123459,station basic facilities kami dekhiye,english
MORLY/E/2023/1234567,train time nahi train time bahut pareshani,english
MORLY/E/2023/2345678,refund nahi mila karun bahut din,english
MORLY/E/2023/3456789,railway staff rude behavior bahut acha nahi,english
MORLY/E/2023/4567890,station cleanliness bahut kharab log,english
MORLY/E/2023/5678901,train delay nahi samajh,english
MORLY/E/2023/6789012,ticket payment nahi horahi,english
MORLY/E/2023/7890123,railway staff behavior theek nahi option nahi,english
MORLY/E/2023/8901234,station washroom dirty sakte,english
MORLY/E/2023/9012345,train schedule barbar change,english
MORLY/E/2023/0123456,payment option card payment nahi,english
MORLY/E/2023/1234568,train staff training achi nahi nahi karte,english
MORLY/E/2023/2345679,platform bahut ganda log,english
MORLY/E/2023/3456790,train service bahut problems log,english
MORLY/E/2023/4567891,transaction confirm nahi padega,english
MORLY/E/2023/5678902,staff behavior acha nahi padega,english
MORLY/E/2023/6789013,platform bahut kharab maintenance nahi,english
MORLY/E/2023/7890124,trains dirty cleanliness dhyan,english
MORLY/E/2023/8901235,payment nahi mil hoga,english
MORLY/E/2023/9012346,train staff attitude theek nahi nahi karte,english
MORLY/E/2023/1234567,train time hamesha late ghante karoge,english
MORLY/E/2023/7654321,payment baad ticket nahi mila bahut pareshaan main,english
MORLY/E/2023/2345678,platform cleaning nahi bahut ganda log,english
MORLY/E/2023/3456789,train staff behaviour bahut bekar training,english
MORLY/E/2023/4567890,train chalne time bar bar change isse hoga,english
MORLY/E/2023/5678901,payment baad confirmation nahi mila bahut dikkat,english
MORLY/E/2023/6789012,station washroom bahut kharab halat ispe,english
MORLY/E/2023/7890123,train staff aadar baat nahi aata bahut bura experience,english
MORLY/E/2023/8901234,train baar baar cancel isse samasya,english
MORLY/E/2023/9012345,payment baad nahi mila bahut pareshaan,english
MORLY/E/2023/0123456,platform suvidha achi nahi khud check,english
MORLY/E/2023/1234567,staff behaviour achha nahi sakta,english
MORLY/E/2023/2345678,train schedule hamesha galat isse logon dikkat,english
MORLY/E/2023/3456789,baar baar payment pad bahut pareshani,english
MORLY/E/2023/4567890,railway station parking jagah nahi bahut dikkat,english
MORLY/E/2023/5678901,staff attitude bahut bekar nahi sakta,english
MORLY/E/2023/6789012,train schedule abhi pata nahi chala bahut pareshaan,english
MORLY/E/2023/7890123,payment nahi mila kariye,english
MORLY/E/2023/8901234,train station seating arrangement bahut kharab nahi sakta,english
MORLY/E/2023/9012345,staff behaviour wajah bahut dikkat,english
MORLY/E/2023/6543210,train timing sahi nahi bahut der aati karen,english
MORLY/E/2023/7654321,refund nahi mila turant chahiye,english
MORLY/E/2023/8765432,station facilities bahut kharab toilet kharab dekhiye,english
MORLY/E/2023/9876543,tte bura treat unko samjhana chahiye,english
MORLY/E/2023/3456789,train time nahi bahut delay,english
MORLY/E/2023/1234567,ticket payment nahi mila kariye,english
MORLY/E/2023/2345678,platform bahut ganda safai kaam chahiye,english
MORLY/E/2023/3456789,railway staff attitude sahi nahi bhaari badlaav chahiye,english
MORLY/E/2023/4567890,train left stated time bahut parishani,english
MORLY/E/2023/5678901,payment issue,english
MORLY/E/2023/0987654,platforms well maintained bahut kharab halat,english
MORLY/E/2023/3456781,staff training focus nahi customer service behtar chahiye,english
MORLY/E/2023/4567892,bahut der train wait samasya jaldi suljhaayein,english
MORLY/E/2023/5678903,refund nahi mila,english
MORLY/E/2023/6789014,railway station suraksha bahut kharab dekhiye,english
MORLY/E/2023/7890125,staff training zaroorat behavior theek nahi,english
MORLY/E/2023/8901239,bahut der train pareshan,english
MORLY/E/2023/9012341,ticket refund nahi mila,english
MORLY/E/2023/2345678,train time nahi chhodne bahut bura laga,english
MORLY/E/2023/3456789,ticket refund nahi xxxxxx payment,english
MORLY/E/2023/4567890,platform aisi suvidha nahi seating nahi bahut mushkil,english
MORLY/E/2023/5678901,station staff baat mushkil nahi milta,english
MORLY/E/2023/6789012,train delay passengers update nahi,english
MORLY/E/2023/7890123,ticket paisa wapas nahi mila dekh sakte,english
MORLY/E/2023/8901234,station lift kaam nahi bahut pareshani,english
MORLY/E/2023/9012345,staff training nahi unse baat response nahi milta,english
MORLY/E/2023/0123456,train announcement sahi nahi passengers pareshan,english
MORLY/E/2023/1234567,payment confirmation nahi mila dekh sakte,english
MORLY/E/2023/2345678,platform washroom saaf nahi bahut ganda,english
MORLY/E/2023/3456789,staff behavior acha nahi unse baat mushkil,english
MORLY/E/2023/4567890,train time schedule sahi nahi,english
MORLY/E/2023/5678901,online payment receipt nahi mila check sakte,english
MORLY/E/2023/6789012,station kisi tarah suvidha nahi bahut mushkil train wait,english
MORLY/E/2023/7890123,railway staff attitude theek nahi unse baat dikkat,english
MORLY/E/2023/8901234,train stop nahi jaana bahut samasya,english
MORLY/E/2023/9012345,ticket payment nahi sakte,english
MORLY/E/2023/4865320,railway station bahut zyada bheed train timing sahi nahi kijiye,english
MORLY/E/2023/2347685,ticket book payment nahi paise nahi mile solution chahiye,english
MORLY/E/2023/7685431,station facility itni kharab logon pareshani toilets saaf nahi,english
MORLY/E/2023/9876543,station staff bahut rude unke saath baat mushkil,english
MORLY/E/2023/1234567,train baar baar delay jaati solution nahi bahut frustrating,english
MORLY/E/2023/6543210,refund nahi mila cancel status,english
MORLY/E/2023/7894563,platform bahut gandha safai nahi bahut bura lagta,english
MORLY/E/2023/3456789,railway staff training achi nahi kaam nahi aata bahut bura,english
MORLY/E/2023/8642097,train frequency bahut kam bahut mushkil,english
MORLY/E/2023/1472583,ticket paisa refund nahi cancellation,english
MORLY/E/2023/2589634,station infrastructure bahut poor khud dekh safety kharab,english
MORLY/E/2023/3692581,staff behavior theek nahi samajhna mushkil solution chahiye,english
MORLY/E/2023/7418529,train timings bahut inconsistent wajah bahut dikkat,english
MORLY/E/2023/8529637,tickets book refund nahi mila,english
MORLY/E/2023/9638520,station building purani repair zarurat plan,english
MORLY/E/2023/1472589,staff apna kaam nahi karte train timings samajh nahi,english
MORLY/E/2023/2587413,train late hone wajah bahut pareshani solution chahiye,english
MORLY/E/2023/3698521,refund process dikkat jaldi,english
MORLY/E/2023/8521473,platform safety measures nahi bahut zaruri,english
MORLY/E/2023/9631470,staff behavior bahut kharab training zarurat,english
MORLY/E/2023/8523694,train cleanliness nahi bahut ganda,english
MORLY/E/2023/2345678,refund nahi mila payment nahi,english
MORLY/E/2023/3456789,der train nahi station log parishan,english
MORLY/E/2023/4567890,platform safai nahi bahut gandh kripya dekhein,english
MORLY/E/2023/5678901,train staff acha vyavhaar nahi unse complain,english
MORLY/E/2023/6789012,ticket payment nahi mila,english
MORLY/E/2023/7890123,train time table sahi nahi bahut late,english
MORLY/E/2023/8901234,railway station safai bahut kharab nahi,english
MORLY/E/2023/9012345,staff training kami lagti samasya,english
MORLY/E/2023/0123456,online ticket book nahi confirmation,english
MORLY/E/2023/1234560,train schedule sahi nahi baar baar badalta,english
MORLY/E/2023/2345601,station facilities kharab jaldi theek,english
MORLY/E/2023/3456012,railway staff training sahi nahi ghalat info dete,english
MORLY/E/2023/4560123,online payment payment nahi,english
MORLY/E/2023/5601234,train timing galat bahut problem,english
MORLY/E/2023/6012345,station building kharab turant theek,english
MORLY/E/2023/7123456,railway staff training achhi nahi unse dikkat,english
MORLY/E/2023/8123456,refund nahi mila ticket cancel,english
MORLY/E/2023/9123456,train timings bahut parishan sahi nahi,english
MORLY/E/2023/0123457,station facilities bahut kharab nahi,english
MORLY/E/2023/1123456,staff behavior bahut achha nahi samasya,english
MORLY/E/2023/2345678,train timing hamesha late bahut pareshan,english
MORLY/E/2023/3456789,train ticket payment confirmation nahi mila,english
MORLY/E/2023/4567890,station staff behavior bahut bura action lena hoga,english
MORLY/E/2023/5678901,platform safai bahut kharab station achha nahi lagta,english
MORLY/E/2023/6789012,train route badal bina kisi soochna sakta,english
