registration_no,subject_content_text,cleaned_text,agg_cluster
MORLY/E/2023/8901235,"Mere payment ka refund nahi aaya hai, kya yeh jaldi ho sakta hai?",payment refund nahi jaldi sakta,0
MORLY/E/2023/9012346,"Mujhe railway staff ka vyavhaar bilkul theek nahi laga, kya yeh dekha ja sakta hai?",railway staff vyavhaar theek nahi laga dekha sakta,0
MORLY/E/2023/2345678,Train ka time hamesha late hota hai. Aaj bhi 2 ghante late hai. Kya kar rahe ho aap log?,train time hamesha late aaj ghante late log,0
MORLY/E/2023/3456789,Mere ticket ki payment nahi hui. Account number XXXXXX1234 hai. Jaldi dekhiye.,ticket payment nahi account number xxxxxx jaldi dekhiye,0
MORLY/E/2023/4567890,Station par safai nahi hai. Khud dekhiye kabhi! Badi dikkat hoti hai.,station safai nahi khud dekhiye badi dikkat,0
MORLY/E/2023/5678901,Staff rude hai. Help nahi karte. Kya yeh service hai? Mera PNR XXXXXX7890.,staff rude nahi karte service pnr xxxxxx,0
MORLY/E/2023/6789012,Train ka schedule kabhi check hi nahi hota. Aaj bhi wait kar raha hoon. Bura haal hai.,train schedule check nahi aaj wait bura haal,0
MORLY/E/2023/7890123,Mera paisa ab tak refund nahi hua. Kya aap log sirf baten karne ke liye hain? Account XXXXXX4567.,paisa refund nahi log sirf baten account xxxxxx,0
MORLY/E/2023/8901234,Platform ki halat kharab hai. Kahi bhi kehne pe bhi koi nahi sunta hai. Aayiye dekhiye!,platform halat kharab kahi kehne nahi sunta aayiye dekhiye,0
MORLY/E/2023/9012345,Koi bhi madad nahi karta. Mere issue par koi jawab nahi diya. Yeh kya hai?,nahi karta issue jawab nahi,0
MORLY/E/2023/0123456,Railway service bahut kharab hai. Jyada wait karna padta hai. Ye koi service hai kya?,railway service bahut kharab jyada wait padta service,0
MORLY/E/2023/1234567,Mujhe refund nahi mila. Kya aap log sirf bartan karne ke liye hain? XXXXXX7890.,refund nahi mila log sirf bartan xxxxxx,0
MORLY/E/2023/2345678,Station ki safai bahut kharab hai. Aisa nahi chalega. Aap log kya kar rahe hain?,station safai bahut kharab aisa nahi chalega log,0
MORLY/E/2023/3456789,"Staff ka attitude theek nahi hai. Help nahi karte, sirf sunte hain.",staff attitude theek nahi nahi karte sirf sunte,0
MORLY/E/2023/4567890,"Railway ki service acchi nahi hai, kabhi time par nahi aati. Main pareshaan hoon.",railway service acchi nahi time nahi aati main pareshaan,0
MORLY/E/2023/5678901,"Refund ab tak nahi mila hai. Bahut pareshaan hoon, aap log to sirf bartan karte ho.",refund nahi mila bahut pareshaan log sirf bartan karte,0
MORLY/E/2023/6789012,Railway station ki facilities bahut kharab hain. Ye theek nahi hai! Aap log kya kar rahe ho?,railway station facilities bahut kharab theek nahi log,0
MORLY/E/2023/7890123,Mujhe staff ki training par bahut shikayat hai. Yeh kya hai? Koi madad nahi hoti!,staff training bahut shikayat nahi,0
MORLY/E/2023/8901235,Train mein bahut samasya aati hai. Kya aap log kuch nahi kar sakte? Bahut pareshaan hoon.,train bahut samasya aati log nahi sakte bahut pareshaan,0
MORLY/E/2023/9012346,Payment ki koi confirmation nahi mili. Kya aap log dhyan nahi dete?,payment confirmation nahi mili log dhyan nahi dete,0
MORLY/E/2023/0123458,Station ki facilities bilkul kharab hain. Aap log kya kar rahe ho?,station facilities kharab log,0
MORLY/E/2023/1234569,Staff ki training bilkul theek nahi hai. Koi madad nahi milti hai!,staff training theek nahi nahi milti,0
MORLY/E/2023/2345670,Train chalane ka time kabhi nahi hota. Bahut pareshaan hoon.,train chalane time nahi bahut pareshaan,0
MORLY/E/2023/3456781,Mere ticket ka paisa wapas nahi mila. Kya aap log kuch nahi kar sakte?,ticket paisa wapas nahi mila log nahi sakte,0
MORLY/E/2023/1234567,"Mujhe train ka schedule kaafi baar badalta hai, is wajah se mai kabhi kabhi late hote hoon. Aapko dhyan dena chahiye.",train schedule baar badalta wajah mai late aapko dhyan dena chahiye,0
MORLY/E/2023/2345678,Maine ticket book ki thi lekin payment nahi hui. Mere account se paisa deduct ho gaya.,ticket book payment nahi account paisa deduct,0
MORLY/E/2023/3456789,"Station ki facilities bahut kharab hain, toilets gande hain aur seating arrangement theek nahi hai.",station facilities bahut kharab toilets gande seating arrangement theek nahi,0
MORLY/E/2023/4567890,"Guard ne train mein safety measures ke bare mein nahi bataya, yeh bahut zaroori hai.",guard train safety measures bare nahi bataya bahut zaroori,0
MORLY/E/2023/5678901,"Train ka arrival time pehle se badal gaya hai, iss wajah se mujhe dikkat hoti hai.",train arrival time pehle badal iss wajah dikkat,0
MORLY/E/2023/6789012,"Maine double charges pay kiye hain, mujhe refund chahiye.",double charges pay kiye refund chahiye,0
MORLY/E/2023/7890123,"Platform pe safai nahi hoti. Bahut ganda hai, is wajah se train ke liye khade hone mein dikkat hoti hai.",platform safai nahi bahut ganda wajah train khade hone dikkat,0
MORLY/E/2023/8901234,"Conductor ne mere saath achhe se baat nahi ki, zaroori hai ki staff polite rahe.",conductor saath achhe baat nahi zaroori staff polite,0
MORLY/E/2023/9012345,"Train ka timing bilkul galat hai, baar baar delay hota hai, is wajah se problem hoti hai.",train timing galat baar baar delay wajah problem,0
MORLY/E/2023/0123456,"Mujhe ticket ka paisa nahi mila jo cancel kiya tha, iska kya hoga?",ticket paisa nahi mila cancel hoga,0
MORLY/E/2023/1234568,Platform par koi seating nahi hai aur safai bhi nahi hoti. Bahut dikkat hoti hai.,platform seating nahi safai nahi bahut dikkat,0
MORLY/E/2023/2345679,Staff ko customer service ke bare mein achhe se nahi samjhaaya gaya hai. Is par dhyaan dena chahiye.,staff customer service bare achhe nahi samjhaaya dhyaan dena chahiye,0
MORLY/E/2023/3456790,"Mujhe kisi train ka number nahi pata, lekin wo kabhi bhi nahi aati. Bahut samasya hoti hai.",kisi train number nahi pata nahi aati bahut samasya,0
MORLY/E/2023/4567901,"Mujhe refund nahi mila, maine ticket cancel ki thi. Iska kya hoga?",refund nahi mila ticket cancel hoga,0
MORLY/E/2023/5678902,"Station par koi facilities nahi hain, kuch nahi hai. Bahut pareshani hoti hai.",station facilities nahi nahi bahut pareshani,0
MORLY/E/2023/6789013,"Aaj kal staff ki services achhi nahi rahi hain, unko training ki zarurat hai.",aaj kal staff services achhi nahi unko training zarurat,0
MORLY/E/2023/7890124,"Trains baar baar late ho rahi hain, isliye mujhe pareshani hoti hai.",trains baar baar late isliye pareshani,0
MORLY/E/2023/8901235,"Maine ek refund request ki thi, ab tak kuch nahi hua.",refund request nahi,0
MORLY/E/2023/9012346,"Platform par koi bhi lighting nahi hai, raat ko bahut dikkat hoti hai.",platform lighting nahi raat bahut dikkat,0
MORLY/E/2023/1234567,"Railway ka train time pe nahi aaya. Bahut der ho gaya tha, bahut pareshani hui.",railway train time nahi bahut der bahut pareshani,0
MORLY/E/2023/2345678,"Mujhe refund nahi mila hai, maine ticket cancel kiya tha lekin paisa nahi aaya.",refund nahi mila ticket cancel paisa nahi,0
MORLY/E/2023/3456789,"Station par washroom bahut ganda hai. Saaf nahi kiya jata hai, please dekhiye.",station washroom bahut ganda saaf nahi jata dekhiye,0
MORLY/E/2023/4567890,Train staff bilkul rude hain. Unse baat karne mein bahut takleef hoti hai.,train staff rude unse baat bahut takleef,0
MORLY/E/2023/5678901,"Train chhodne se pehle platform par announce nahi hota, bahut dikkat hoti hai.",train chhodne pehle platform announce nahi bahut dikkat,0
MORLY/E/2023/6789012,"Mujhe online ticket kharidne par payment nahi hui, par amount deduct ho gaya.",online ticket kharidne payment nahi amount deduct,0
MORLY/E/2023/7890123,Platform par seating arrangement bahut kharab hai. Log khade rehte hain.,platform seating arrangement bahut kharab log khade rehte,0
MORLY/E/2023/8901234,"Conductor ne mujhe seat nahi di, bahut bura experience hua.",conductor seat nahi bahut bura experience,0
MORLY/E/2023/9012345,Train ka route badal gaya bina kisi notice ke. Kaafi samasya hui.,train route badal bina kisi notice samasya,0
MORLY/E/2023/0123456,Ticket cancel karne par refund nahi mil raha. Bahut samasya ho rahi hai.,ticket cancel refund nahi mil bahut samasya,0
MORLY/E/2023/1234561,"Platform par paani bhara hua hai, logo ko dikkat ho rahi hai. Please dekhiye.",platform paani bhara logo dikkat dekhiye,0
MORLY/E/2023/2345672,"Staff ne mujhe galat information di, kaafi samasya hui.",staff galat information samasya,0
MORLY/E/2023/3456783,Train ki frequency bahut kam hai. Bahut dikkat hoti hai.,train frequency bahut kam bahut dikkat,0
MORLY/E/2023/4567894,"Mujhe ticket kharidte waqt payment nahi mila, bahut samasya hai.",ticket kharidte waqt payment nahi mila bahut samasya,0
MORLY/E/2023/5678905,"Railway station par parking kaafi kharab hai, please improve karein.",railway station parking kharab improve,0
MORLY/E/2023/6789016,"Koi bhi staff madad nahi kar raha, bahut dikkat hui.",staff nahi bahut dikkat,0
MORLY/E/2023/7890127,"Train ka delay ho gaya, koi information nahi di gayi.",train delay information nahi,0
MORLY/E/2023/8901238,"Online payment fail ho raha hai, please kuch karein.",online payment fail,0
MORLY/E/2023/9012349,"Station par lights nahi hain, bahut andhera hota hai.",station lights nahi bahut andhera,0
MORLY/E/2023/0123450,"Staff ka behavior bahut accha nahi hai, problem ho rahi hai.",staff behavior bahut accha nahi problem,0
MORLY/E/2023/1234561,Train ka platform change kar diya bina kisi notice ke. Please dekhiye.,train platform change bina kisi notice dekhiye,0
MORLY/E/2023/2345672,"Mujhe ticket ki payment nahi mili, bahut dikkat hai.",ticket payment nahi mili bahut dikkat,0
MORLY/E/2023/1234567,"Train ka time barabar nahi hai, bahut takleef hoti hai. Please kuch karein.",train time barabar nahi bahut takleef,0
MORLY/E/2023/2345678,"Mujhe ticket ke liye payment ki confirmation nahi mili, koi dikkat hai kya?",ticket payment confirmation nahi mili dikkat,0
MORLY/E/2023/3456789,"Conductor ne ticket check nahi kiya aur rude behave kiya, bahut bura laga.",conductor ticket check nahi rude behave bahut bura laga,0
MORLY/E/2023/4567890,"Platform pe safai nahi ho rahi hai, bahut gandh hai, kuch karein!",platform safai nahi bahut gandh,0
MORLY/E/2023/5678901,"Train ka delay bahut hota hai, koi proper system nahi hai. Please dekhein!",train delay bahut proper system nahi dekhein,0
MORLY/E/2023/6789012,"Mujhe refund nahi mila ab tak, kya problem hai? PNR: XXXXXX.",refund nahi mila problem pnr xxxxxx,0
MORLY/E/2023/7890123,"Staff ne mujhe samajh nahi paya, unki attitude ka kuch nahi hota.",staff samajh nahi paya unki attitude nahi,0
MORLY/E/2023/8901234,"Station ki building bahut purani hai, naye infrastructure ki zarurat hai.",station building bahut purani naye infrastructure zarurat,0
MORLY/E/2023/9012345,"Train ka jaane ka samay change ho gaya bina kisi suchna ke, kaisa hai yeh?",train jaane samay change bina kisi suchna kaisa,0
MORLY/E/2023/0123456,"Mujhe ticket ka refund nahi mila, please help! PNR: XXXXXX.",ticket refund nahi mila pnr xxxxxx,0
MORLY/E/2023/1234568,"Railway staff ne mujhe ghalat information di, kaafi samay barbaad hua.",railway staff ghalat information samay barbaad,0
MORLY/E/2023/2345679,"Platform pe sochne ke liye jagah nahi hai, khud pe chalte chalte gir gaya.",platform sochne jagah nahi khud chalte chalte gir,0
MORLY/E/2023/3456780,"Train ka service bahut kharab hai, samasya jaldi hal karein.",train service bahut kharab samasya jaldi hal,0
MORLY/E/2023/4567891,"Refund nahi mila ab tak, PNR: XXXXXX, kya ho raha hai?",refund nahi mila pnr xxxxxx,0
MORLY/E/2023/5678902,"Staff ki training nahi hui, unka behavior theek nahi hai.",staff training nahi behavior theek nahi,0
MORLY/E/2023/6789013,"Station ki infrastructure bahut poor hai, kuch upgrade ki zarurat hai.",station infrastructure bahut poor upgrade zarurat,0
MORLY/E/2023/7890124,"Train time pe nahi aayi, bahut issues hain, please dekhein.",train time nahi bahut issues dekhein,0
MORLY/E/2023/8901235,"Mujhe refund ka status chahiye, ab tak nahi mila, kya karna hai?",refund status chahiye nahi mila,0
MORLY/E/2023/9012346,"Staff ne mujhe samajh nahi paya, unka behavior theek nahi hai.",staff samajh nahi paya behavior theek nahi,0
MORLY/E/2023/1234567,Train ka time change ho gaya hai. Pichle mahine se kuch nahi badla. Bahut pareshani ho rahi hai!,train time change pichle mahine nahi badla bahut pareshani,0
MORLY/E/2023/2345678,Online ticket booking ke liye payment nahi ho raha hai. Mere account ka number XXXXXX1234 hai.,online ticket booking payment nahi account number xxxxxx,0
MORLY/E/2023/3456789,Station par facilities bahut kharab hain. Toilets gande hain aur benches bhi nahi hain.,station facilities bahut kharab toilets gande benches nahi,0
MORLY/E/2023/4567890,Railway staff ka behavior bahut bura hai. Unhone mujhe bura bola jab maine unse madad maangi.,railway staff behavior bahut bura unhone bura bola jab unse maangi,0
MORLY/E/2023/5678901,Train ka delay baar-baar ho raha hai. Mere paas important meeting hai!,train delay baarbaar paas important meeting,0
MORLY/E/2023/6789012,Ticket cancel karne par refund nahi mila. Mere account ka no. XXXXXX9876 hai.,ticket cancel refund nahi mila account xxxxxx,0
MORLY/E/2023/7890123,"Platform par safety measures nahi hain. Bahut khatar hai, please kuch karein.",platform safety measures nahi bahut khatar,0
MORLY/E/2023/8901234,Staff se baat karne par gussa hota hai. Kya yeh sahi hai? Please kuch karein.,staff baat gussa sahi,0
MORLY/E/2023/9012345,Train se baahar jane ka time nahi hai. Kahi nahi mil raha hai koi.,train baahar jane time nahi kahi nahi mil,0
MORLY/E/2023/0123456,Mujhe coupon se discount nahi mila. Bahut pareshan hoon.,coupon discount nahi mila bahut pareshan,0
MORLY/E/2023/1234568,Station par parking ka bahut bada dikkat hai. Bahut samasya hoti hai.,station parking bahut bada dikkat bahut samasya,0
MORLY/E/2023/2345679,Conductor hamesha late hota hai. Ticket check karne me samay lagta hai.,conductor hamesha late ticket check samay lagta,0
MORLY/E/2023/3456780,Train mein toilets gande hain. Kya kuch nahi hota iske liye?,train toilets gande nahi iske,0
MORLY/E/2023/4567891,Payment fail ho raha hai jab bhi main ticket book karta hoon. Bahut pareshaan hoon.,payment fail jab main ticket book karta bahut pareshaan,0
MORLY/E/2023/5678902,Platform par behtareen suvidhaon ki kami hai. Bahut dikkat hoti hai.,platform behtareen suvidhaon kami bahut dikkat,0
MORLY/E/2023/6789013,Railway staff se baat karne par unka behavior bura hai. Kya kuch nahi kiya ja sakta?,railway staff baat behavior bura nahi sakta,0
MORLY/E/2023/7890124,Train ki timing kabhi sahi nahi hoti. Bahut baar delay hota hai.,train timing sahi nahi bahut baar delay,0
MORLY/E/2023/8901235,Mujhe refund nahi mila jab maine ticket cancel ki. Bahut pareshaan hoon.,refund nahi mila jab ticket cancel bahut pareshaan,0
MORLY/E/2023/1234567,"Train ka time barbad ho gaya, koi information nahi mili. Just 2 gante se wait kar rahe hain.",train time barbad information nahi mili gante wait,0
MORLY/E/2023/2345678,"Payment karne par refund nahi mila, account number XXXXXX. Bahut pareshaan hoon abhi.",payment refund nahi mila account number xxxxxx bahut pareshaan abhi,0
MORLY/E/2023/3456789,"Station pe cleaning nahi ho rahi hai, safai bahut kharab hai. Aise nahi chalega.",station cleaning nahi safai bahut kharab aise nahi chalega,0
MORLY/E/2023/4567890,"Staff ka behavior bahut rude hai, koi respect nahi hai passengers ke liye. Bahut bura laga.",staff behavior bahut rude respect nahi passengers bahut bura laga,0
MORLY/E/2023/5678901,"Train ka delay ho gaya, koi information nahi hai. PNR XXXXXXXXXX hai.",train delay information nahi pnr xxxxxxxxxx,0
MORLY/E/2023/6789012,"Booking ke liye paisa deduct ho gaya, par ticket nahi mili. Help karo.",booking paisa deduct ticket nahi mili,0
MORLY/E/2023/7890123,Foot overbridge ka kaam kab hoga? Bahut mushkil hota hai crossing karna.,foot overbridge kaam hoga bahut mushkil crossing,0
MORLY/E/2023/8901234,"Ticket counter pe staff ka attitude acha nahi hai, rude response milta hai. Please dekhiye.",ticket counter staff attitude acha nahi rude response milta dekhiye,0
MORLY/E/2023/9012345,Train ka schedule change ho gaya bina kisi notice ke. Bahut nafrat hai is wajah se.,train schedule change bina kisi notice bahut nafrat wajah,0
MORLY/E/2023/0123456,"Booking ke liye card se payment kiya, par abhi tak confirmation nahi mila.",booking card payment abhi confirmation nahi mila,0
MORLY/E/2023/1234560,"Platform pe kuch repair kaam hai, bahut dikkat ho rahi hai. Jaldi karwai karein.",platform repair kaam bahut dikkat jaldi karwai,0
MORLY/E/2023/2345601,"Staff se problem ho rahi hai, kisi bhi query ka jawab nahi mil raha. Bahut takleef ho rahi hai.",staff problem kisi query jawab nahi mil bahut takleef,0
MORLY/E/2023/3456712,Train ka coach cleanliness bahut kharab hai. Aisa nahi hona chahiye.,train coach cleanliness bahut kharab aisa nahi chahiye,0
MORLY/E/2023/4567813,"Refund milne ka intezaar hai, kuch nahi ho raha ab tak. Bahut pareshani ho rahi hai.",refund milne intezaar nahi bahut pareshani,0
MORLY/E/2023/5678924,"Roads bahut kharab hain station ke aas paas, kuch nahi dekha jata.",roads bahut kharab station aas paas nahi dekha jata,0
MORLY/E/2023/6789035,"Staff ki training mein kami hai, unhe training nahi di ja rahi hai.",staff training kami training nahi,0
MORLY/E/2023/7890126,"Train ki timing bahut badal gayi hai, koi notice nahi mila. Yeh galat hai.",train timing bahut badal notice nahi mila galat,0
MORLY/E/2023/8901237,"Payment ke liye retry kiya, par kuch nahi ho raha. Bahut pareshani hai.",payment retry nahi bahut pareshani,0
MORLY/E/2023/9012348,"Station ki infrastructure bahut purani hai, kuch nahi kiya ja raha hai.",station infrastructure bahut purani nahi,0
MORLY/E/2023/9876543,"Train time pe nahi aayi, bahut der ho gayi. Aisa baar baar kyu hota hai?",train time nahi bahut der aisa baar baar kyu,0
MORLY/E/2023/7654321,"Mujhe booking ke time pe payment nahi mila, baar baar try kiya.",booking time payment nahi mila baar baar try,0
MORLY/E/2023/6543210,"Staff bahut rude the, customer service ki training hone chahiye.",staff bahut rude customer service training hone chahiye,0
MORLY/E/2023/5432109,"Platform ki halat kharab hai, behtareen infrastructure hona chahiye.",platform halat kharab behtareen infrastructure chahiye,0
