registration_no,subject_content_text,dbscan_cluster
MORLY/E/2023/7890123,"Platform par safety measures nahi hain. Bahut khatar hai, please kuch karein.",0
MORLY/E/2023/8901234,Staff se baat karne par gussa hota hai. Kya yeh sahi hai? Please kuch karein.,0
MORLY/E/2023/9012345,Train se baahar jane ka time nahi hai. Kahi nahi mil raha hai koi.,0
MORLY/E/2023/0123456,Mujhe coupon se discount nahi mila. Bahut pareshan hoon.,0
MORLY/E/2023/1234568,Station par parking ka bahut bada dikkat hai. Bahut samasya hoti hai.,0
MORLY/E/2023/2345679,Conductor hamesha late hota hai. Ticket check karne me samay lagta hai.,-1
MORLY/E/2023/3456780,Train mein toilets gande hain. Kya kuch nahi hota iske liye?,0
MORLY/E/2023/4567891,Payment fail ho raha hai jab bhi main ticket book karta hoon. Bahut pareshaan hoon.,0
MORLY/E/2023/5678902,Platform par behtareen suvidhaon ki kami hai. Bahut dikkat hoti hai.,0
MORLY/E/2023/6789013,Railway staff se baat karne par unka behavior bura hai. Kya kuch nahi kiya ja sakta?,0
MORLY/E/2023/7890124,Train ki timing kabhi sahi nahi hoti. Bahut baar delay hota hai.,0
MORLY/E/2023/8901235,Mujhe refund nahi mila jab maine ticket cancel ki. Bahut pareshaan hoon.,0
MORLY/E/2023/1234567,"Train ka time barbad ho gaya, koi information nahi mili. Just 2 gante se wait kar rahe hain.",0
MORLY/E/2023/2345678,"Payment karne par refund nahi mila, account number XXXXXX. Bahut pareshaan hoon abhi.",0
MORLY/E/2023/3456789,"Station pe cleaning nahi ho rahi hai, safai bahut kharab hai. Aise nahi chalega.",0
MORLY/E/2023/4567890,"Staff ka behavior bahut rude hai, koi respect nahi hai passengers ke liye. Bahut bura laga.",0
MORLY/E/2023/5678901,"Train ka delay ho gaya, koi information nahi hai. PNR XXXXXXXXXX hai.",0
MORLY/E/2023/6789012,"Booking ke liye paisa deduct ho gaya, par ticket nahi mili. Help karo.",0
MORLY/E/2023/7890123,Foot overbridge ka kaam kab hoga? Bahut mushkil hota hai crossing karna.,0
MORLY/E/2023/8901234,"Ticket counter pe staff ka attitude acha nahi hai, rude response milta hai. Please dekhiye.",0
MORLY/E/2023/9012345,Train ka schedule change ho gaya bina kisi notice ke. Bahut nafrat hai is wajah se.,0
MORLY/E/2023/0123456,"Booking ke liye card se payment kiya, par abhi tak confirmation nahi mila.",0
MORLY/E/2023/1234560,"Platform pe kuch repair kaam hai, bahut dikkat ho rahi hai. Jaldi karwai karein.",0
MORLY/E/2023/2345601,"Staff se problem ho rahi hai, kisi bhi query ka jawab nahi mil raha. Bahut takleef ho rahi hai.",0
MORLY/E/2023/3456712,Train ka coach cleanliness bahut kharab hai. Aisa nahi hona chahiye.,0
MORLY/E/2023/4567813,"Refund milne ka intezaar hai, kuch nahi ho raha ab tak. Bahut pareshani ho rahi hai.",0
MORLY/E/2023/5678924,"Roads bahut kharab hain station ke aas paas, kuch nahi dekha jata.",-1
MORLY/E/2023/6789035,"Staff ki training mein kami hai, unhe training nahi di ja rahi hai.",0
MORLY/E/2023/7890126,"Train ki timing bahut badal gayi hai, koi notice nahi mila. Yeh galat hai.",0
MORLY/E/2023/8901237,"Payment ke liye retry kiya, par kuch nahi ho raha. Bahut pareshani hai.",0
MORLY/E/2023/9012348,"Station ki infrastructure bahut purani hai, kuch nahi kiya ja raha hai.",0
MORLY/E/2023/9876543,"Train time pe nahi aayi, bahut der ho gayi. Aisa baar baar kyu hota hai?",0
MORLY/E/2023/7654321,"Mujhe booking ke time pe payment nahi mila, baar baar try kiya.",0
MORLY/E/2023/6543210,"Staff bahut rude the, customer service ki training hone chahiye.",0
MORLY/E/2023/5432109,"Platform ki halat kharab hai, behtareen infrastructure hona chahiye.",0
MORLY/E/2023/4321098,"Train delay ho raha hai, isse mujhe bahut dikkat ho rahi hai.",0
MORLY/E/2023/3210987,"Account se paise nahi gaye, bhut baar dekha magar kuch nahi hua.",0
MORLY/E/2023/2109876,"Guard ne mujhe dhoka diya, mujhe bahut bura laga.",0
MORLY/E/2023/1098765,"Station ki safai bahut zaroori hai, nahi toh logon ko problem hoti hai.",0
MORLY/E/2023/0987654,Train cancellation ki wajah se mujhe kaafi nuksan hua hai.,2
MORLY/E/2023/9876500,"Mujhe ticket ke liye paise wapas nahi mile, bhut pareshani ho rahi hai.",0
MORLY/E/2023/4567890,"Staff ne mere sath achha vyavhaar nahi kiya, mujhe bahut bura laga.",0
MORLY/E/2023/6789012,"Station ki building purani ho gayi hai, iski marammat honi chahiye.",0
MORLY/E/2023/7890123,"Mujhe train ka schedule samajh nahi aaya, bahut confusion ho raha hai.",0
MORLY/E/2023/8901234,"Mujhe refund nahi mil raha hai, aap se maangti hoon ki ispar dhyan dein.",0
MORLY/E/2023/1234567,"Mujhe staff se koi help nahi mil rahi, behtar training ki zaroorat hai.",0
MORLY/E/2023/2345678,"Railway station ki facilities purani ho gayi hain, nayi facilities deni chahiye.",0
MORLY/E/2023/3456789,"Train ki timing sahi nahi hai, mujhe bahut pareshani ho rahi hai.",0
MORLY/E/2023/5678901,"Mujhe refund nahi mil raha, meri complaint ko jaldi dekhiye.",0
MORLY/E/2023/6789012,"Mujhe staff se koi support nahi mila, zaroori hai ki staff ko training di jaye.",0
MORLY/E/2023/1234567,Mujhe train ke time pe delay ka issue hai. Pichle hafte meri train 2 ghante late hui thi.,0
MORLY/E/2023/2345678,"Mera payment process nahi ho raha hai. Main baar baar try kar rahi hoon, phir bhi nahi ho raha.",0
MORLY/E/2023/3456789,Station par facilities bahut kharab hai. Cleanliness aur basic amenities ki kami hai.,0
MORLY/E/2023/4567890,Station staff ka behavior theek nahi hai. Unka attitude rude hai. Kuch madad nahi karte.,0
MORLY/E/2023/5678901,Mujhe train ka schedule samajhne mein dikkat ho rahi hai. Timings clear nahi hain.,0
MORLY/E/2023/6789012,Mera refund process nahi ho raha hai. Pese mere account mein nahi aaye. Kya karoon?,0
MORLY/E/2023/7890123,Railway station par bahut saari cheezein purani ho gayi hain. Facilities update karne ki zarurat hai.,0
MORLY/E/2023/8901234,Staff ne meri complaint ko ignore kiya. Mujhe kuch madad nahi mili.,0
MORLY/E/2023/9012345,Train ka booking process bahut hi mushkil hai. Samajhne mein dikkat hoti hai.,0
MORLY/E/2023/0123456,Mera payment status update nahi ho raha hai. Kya mujhe kuch karna hoga?,0
MORLY/E/2023/1234560,"Platform par safety issues hain. Bahut saari jagah par lights nahi hain, bahut andhera hota hai.",0
MORLY/E/2023/2345671,Staff ki training kaafi weak hai. Unhein passengers ke sath baatcheet karna nahi aata.,0
MORLY/E/2023/3456782,Train ka punctuality bahut kharab hai. Aaj meri train 3 ghante late hui hai.,0
MORLY/E/2023/4567893,Mera ticket cancellation ke baad bhi paise nahi aaye. Pese kab milenge?,0
MORLY/E/2023/5678904,Railway station par seating arrangement bahut bekar hai. Log bekaar mein khade rehte hain.,0
MORLY/E/2023/6789015,Staff ka behavior bilkul accha nahi hai. Unhein customers se baat karne mein dikkat hoti hai.,0
MORLY/E/2023/7890126,Train ka schedule mein koi clarity nahi hai. Bahut saari changes hain last minute par.,-1
MORLY/E/2023/8901237,Mera ticket cancellation hone ke baad paise nahi aaye hain. Kab milenge?,0
MORLY/E/2023/9012348,Railway station par bahut saari jagah par safai ki kami hai. Sudhar ki zarurat hai.,0
MORLY/E/2023/1234567,Train ki timing hamesha late hoti hai. Bahut dikkat hoti hai. Please is par dhyaan dein.,0
MORLY/E/2023/2345678,Maine ticket book kiya tha par payment nahi hua. Please meri help karein.,0
MORLY/E/2023/3456789,Railway staff ka behave achha nahi hai. Unhe training ki zarurat hai.,0
MORLY/E/2023/4567890,Platform par safai nahi hoti. Bahut ganda hota hai.,0
MORLY/E/2023/5678901,"Train time pe nahi aati, aur kaafi baar cancel hoti hai.",0
MORLY/E/2023/6789012,Mujhe refund nahi mila jo mujhe milna chahiye tha. Please help.,0
MORLY/E/2023/7890123,Ticket collector bahut rude hai. Unhe behave karna chahiye.,0
MORLY/E/2023/8901234,Railway station par basic facilities nahi hai. Bahut mushkil hota hai.,0
MORLY/E/2023/9012345,Train ke arrival time bahut galat hain. Is par kuch karna chahiye.,0
MORLY/E/2023/0123456,Mujhe refund nahi mil raha hai. Bahut pareshani ho rahi hai.,0
MORLY/E/2023/1234568,Kya hone laga hai railway staff se? Unki service thik nahi hai.,-1
MORLY/E/2023/2345679,Platform par sadak kharab hai. Yeh bahut khatarnaak hai.,0
MORLY/E/2023/3456780,Train ki service bahut bekar hai. Iske baare mein kuch kiya jaaye.,0
MORLY/E/2023/4567891,"Mera payment pending hai, please jaldi se process karein.",0
MORLY/E/2023/5678902,Railway personnel ka attitude theek nahi hai. Kafi rude hote hain.,-1
MORLY/E/2023/6789013,Station par washroom ki bahut kami hai. Bahut dikkat hoti hai.,0
MORLY/E/2023/7890124,"Train ke seat allocation mein confusion hoti hai, please is par dhyaan dein.",-1
MORLY/E/2023/8901235,"Mera ticket ka payment ab tak nahi hua hai, please check karein.",0
MORLY/E/2023/9012346,Railway staff bahut uncaring hain. Unse baat karna mushkil hai.,0
MORLY/E/2023/0123457,Station ki building bahut purani ho gayi hai. Is par kuch karna chahiye.,0
MORLY/E/2023/3245678,"Train ka schedule bahut hi bekar hai. Aksar late hoti hai, aur koi updates nahi milte.",0
MORLY/E/2023/8745123,Mujhe train ticket ke liye payment karne me dikkat ho rahi hai. Please help!,0
MORLY/E/2023/1234567,"Train ke staff se baat karna mushkil hai, unki attitude achhi nahi hai.",0
MORLY/E/2023/9876543,"Railway station ke facilities bahut kharab hain, bahut gande hain washrooms.",0
MORLY/E/2023/4567890,Mujhe pichle kuch mahine se train timings ki samasya aa rahi hai.,0
MORLY/E/2023/7891234,Train ke guards ko samasya ke waqt samajhne me dikkat hoti hai.,0
MORLY/E/2023/1122334,"Station par safai aur suvidhaon ki kami hai, bahut dikkat hoti hai.",0
MORLY/E/2023/5566778,"Mujhe ticket refund nahi mil raha, kaise milega?",0
MORLY/E/2023/3344556,"Mujhe baar baar train cancellations ki samasya aa rahi hai, samasya jaldi suljhao.",-1
MORLY/E/2023/8899776,"Platform bahut kharab hai, kahin bhi nahin jaana hota hai.",0
MORLY/E/2023/5554443,"Train ke staff ki training achi nahi hai, unhe samasya samajhne me dikkat hoti hai.",0
MORLY/E/2023/7771234,"Mera ticket cancel ho gaya hai, par refund nahi aaya.",0
MORLY/E/2023/2223345,"Train mein bahut bheed ho rahi hai, ticket check nahi ho raha.",0
MORLY/E/2023/9988776,"Station par parking ki samasya hai, jaga nahi milti hai.",0
MORLY/E/2023/4561239,Train ke staff ko communication skills mein sudhar ki zarurat hai.,0
MORLY/E/2023/1239876,Mujhe train ticket ke liye payment ka confirmation nahi mila.,0
MORLY/E/2023/4445556,"Station ke platform par khudai chal rahi hai, bahut dikkat hoti hai.",0
MORLY/E/2023/1234569,"Train ka time schedule bahut hi bekar hai, kabhi-kabhi train nahi aati.",0
